"date","mob.bus.uk","mob.full.uk","mob.bus.sa","mob.full.sa","mob.bus.br","mob.full.br"
2020-06-15,-43.3333333333333,-9.66666666666667,-33.1666666666667,-16.3333333333333,-26.3333333333333,-16.8333333333333
2020-06-16,-45.3333333333333,-12.6666666666667,-58.8333333333333,-32,-27.6666666666667,-17.6666666666667
2020-06-17,-46.3333333333333,-15.6666666666667,-34,-18.6666666666667,-27.3333333333333,-17
2020-06-18,-49.3333333333333,-23,-35.5,-19.0833333333333,-27.6666666666667,-17.3333333333333
2020-06-19,-46.6666666666667,-17.5,-36.3333333333333,-20.9166666666667,-27.3333333333333,-16.5
2020-06-20,-34.3333333333333,-7.41666666666667,-28.6666666666667,-18.4166666666667,-27.3333333333333,-16.8333333333333
2020-06-21,-32.3333333333333,-10.5,-33.6666666666667,-21.75,-33.6666666666667,-22
2020-06-22,-43,-7.75,-36.3333333333333,-21.4166666666667,-27.3333333333333,-17.4166666666667
2020-06-23,-43,-4.25,-36.5,-21.4166666666667,-27.3333333333333,-17.3333333333333
2020-06-24,-43,-4.83333333333333,-34.8333333333333,-19.5833333333333,-29.3333333333333,-18.3333333333333
2020-06-25,-43.3333333333333,-4.33333333333333,-30,-14.0833333333333,-28,-17.8333333333333
2020-06-26,-44.1666666666667,-11.1666666666667,-32,-16.9166666666667,-28.6666666666667,-17.6666666666667
2020-06-27,-39.3333333333333,-20.3333333333333,-23.6666666666667,-14.8333333333333,-33.3333333333333,-22
2020-06-28,-34.6666666666667,-14,-29.1666666666667,-18.3333333333333,-37,-25.3333333333333
2020-06-29,-42.6666666666667,-16.1666666666667,-31.6666666666667,-17.3333333333333,-29,-19.6666666666667
2020-06-30,-42,-13.5,-28.3333333333333,-14.3333333333333,-27.6666666666667,-17.3333333333333
2020-07-01,-42.3333333333333,-13.8333333333333,-27.5,-12.5833333333333,-27.8333333333333,-17.0833333333333
2020-07-02,-42,-12.6666666666667,-27.3333333333333,-11.25,-26.3333333333333,-15.3333333333333
2020-07-03,-43.6666666666667,-16.3333333333333,-29.1666666666667,-14.3333333333333,-25.6666666666667,-14.1666666666667
2020-07-04,-30.6666666666667,-12,-22.8333333333333,-13.4166666666667,-26,-14.5
2020-07-05,-26.6666666666667,-5.66666666666667,-25.6666666666667,-14.9166666666667,-34.6666666666667,-22.1666666666667
2020-07-06,-36,-4.41666666666667,-29.6666666666667,-14.4166666666667,-24.6666666666667,-14.4166666666667
2020-07-07,-38.6666666666667,-10.5,-30.3333333333333,-15.5,-24.6666666666667,-14
2020-07-08,-40,-15,-32.3333333333333,-17,-24.6666666666667,-14.3333333333333
2020-07-09,-39,-12.8333333333333,-32.6666666666667,-16.6666666666667,-25,-14.1666666666667
2020-07-10,-36.3333333333333,-5.33333333333333,-35.5,-20.3333333333333,-23.3333333333333,-12.6666666666667
2020-07-11,-23.1666666666667,0.0833333333333333,-33.8333333333333,-23.3333333333333,-26,-15.3333333333333
2020-07-12,-18.6666666666667,5.5,-34.1666666666667,-23,-33,-21.1666666666667
2020-07-13,-35.6666666666667,-7,-37,-22.0833333333333,-24.6666666666667,-15.1666666666667
2020-07-14,-35.6666666666667,-4.91666666666667,-38.8333333333333,-24.4166666666667,-25.6666666666667,-16.3333333333333
2020-07-15,-36,-9,-34.1666666666667,-18.9166666666667,-25,-14.6666666666667
2020-07-16,-34.1666666666667,-2.58333333333333,-34.5,-18,-25,-15
2020-07-17,-33.6666666666667,-0.666666666666667,-36,-20.0833333333333,-23.8333333333333,-13.5833333333333
2020-07-18,-23.6666666666667,-2.83333333333333,-30.6666666666667,-19.75,-25.3333333333333,-14.6666666666667
2020-07-19,-19.3333333333333,0,-34.6666666666667,-22.25,-30.6666666666667,-19.1666666666667
2020-07-20,-31.6666666666667,1.66666666666667,-36.1666666666667,-20.5833333333333,-23,-13.5
2020-07-21,-32.3333333333333,1.83333333333333,-36.3333333333333,-21.4166666666667,-24,-14.5
2020-07-22,-33.6666666666667,-2.16666666666667,-35.5,-20.3333333333333,-23.6666666666667,-13.3333333333333
2020-07-23,-34.3333333333333,-3.33333333333333,-36.1666666666667,-19.25,-23,-12.6666666666667
2020-07-24,-33,-0.666666666666667,-33.1666666666667,-18.0833333333333,-22.3333333333333,-12.1666666666667
2020-07-25,-24.6666666666667,-10.5,-23.5,-13.1666666666667,-24.6666666666667,-13.8333333333333
2020-07-26,-17.3333333333333,0.333333333333333,-29.1666666666667,-16.6666666666667,-30.3333333333333,-19
2020-07-27,-37,-14.1666666666667,-35,-18.1666666666667,-23.6666666666667,-14.1666666666667
2020-07-28,-32.6666666666667,-0.25,-34.3333333333333,-18.0833333333333,-24.3333333333333,-14.75
2020-07-29,-32,0.833333333333333,-33.3333333333333,-16.75,-24.3333333333333,-14.75
2020-07-30,-31.5,2.75,-33.8333333333333,-16.1666666666667,-23.6666666666667,-13.6666666666667
2020-07-31,-32.6666666666667,-0.833333333333333,-30.3333333333333,-13.9166666666667,-20.6666666666667,-10.3333333333333
2020-08-01,-20.6666666666667,-1,-19.5,-9.33333333333333,-20.6666666666667,-9.83333333333333
2020-08-02,-15.3333333333333,3.33333333333333,-23.1666666666667,-10.9166666666667,-27.3333333333333,-15.8333333333333
2020-08-03,-28,2.33333333333333,-30,-13.8333333333333,-19.6666666666667,-10.6666666666667
2020-08-04,-30.3333333333333,-2,-29.3333333333333,-13.75,-19.6666666666667,-10.6666666666667
2020-08-05,-29.6666666666667,-1.83333333333333,-28.5,-13.5,-18.6666666666667,-9
2020-08-06,-31.3333333333333,1.41666666666667,-30,-13.75,-17,-7.25
2020-08-07,-33,-1.41666666666667,-29.5,-13.0833333333333,-14.3333333333333,-4.83333333333333
2020-08-08,-21,-0.166666666666667,-23,-11.4166666666667,-13.3333333333333,-3.5
2020-08-09,-15.3333333333333,2.83333333333333,-28.5,-14.3333333333333,-20.6666666666667,-11.6666666666667
2020-08-10,-26.6666666666667,1.66666666666667,-53,-25.75,-17,-8.66666666666667
